id,title,main_reference_number,department_title,artist_title
869,"The Watermill with the Great Red Roof",1894.1031,"Painting and Sculpture of Europe","Meindert Hobbema"
2189,Ready-to-Wear,1956.137,"Arts of the Americas","Stuart Davis"
2816,"Interior at Nice",1956.339,"Modern Art","Henri Matisse"
4081,"Gian Lodovico Madruzzo",1929.912,"Painting and Sculpture of Europe","Giovanni Battista Moroni"
4428,"Mère Grégoire",1930.78,"Painting and Sculpture of Europe","Gustave Courbet"
4575,Judith,1956.1109,"Painting and Sculpture of Europe","Jan Sanders van Hemessen"
4758,Stoke-by-Nayland,1922.4453,"Painting and Sculpture of Europe","John Constable"
4773,"Isabella Wolff",1922.4461,"Painting and Sculpture of Europe","Sir Thomas Lawrence"
4788,"Lady Sarah Bunbury Sacrificing to the Graces",1922.4468,"Painting and Sculpture of Europe","Sir Joshua Reynolds"
4796,"Fishing Boats with Hucksters Bargaining for Fish",1922.4472,"Painting and Sculpture of Europe","Joseph Mallord William Turner"
4884,"Figure with Meat",1956.1201,"Contemporary Art","Francis Bacon"
5357,"The Red Armchair",1957.72,"Modern Art","Pablo Picasso"
5848,"Landscape with Saint John on Patmos",1930.500,"Painting and Sculpture of Europe","Nicolas Poussin"
6565,"American Gothic",1930.934,"Arts of the Americas","Grant Wood"
7021,"Portrait of Marevna",1957.628,"Arts of the Americas","Diego Rivera"
7124,"Seated Nude",1958.16,"Modern Art","Henri Matisse"
8624,"Portrait of Pablo Picasso",1958.525,"Modern Art","Juan Gris"
8633,"Hero Construction",1958.528,"Contemporary Art","Richard Hunt"
8958,"Arrangement in Flesh Color and Brown: Portrait of Arthur Jerome Eddy",1931.501,"Arts of the Americas","James McNeill Whistler"
8991,"Improvisation No. 30 (Cannons)",1931.511,"Modern Art","Vasily Kandinsky"
9010,L'Estaque,1931.518,"Modern Art","Émilie Charmy"
9503,"Champs de Mars: The Red Tower",1959.1,"Modern Art","Robert Delaunay"
9512,"Oribe-Type Ewer",1959.5,"Arts of Asia",
11272,"Maize and Cockscombs",1959.599,"Arts of Asia","Tawaraya Sôtatsu"
11320,Adam,1924.4,"Painting and Sculpture of Europe","Auguste Rodin"
11393,"Henry Ossawa Tanner",1924.37,"Arts of the Americas","Hermann Dudley Murphy"
11434,"Salome with the Head of Saint John the Baptist",1960.3,"Painting and Sculpture of Europe","Guido Reni"
11723,"Woman at Her Toilette",1924.127,"Painting and Sculpture of Europe","Berthe Morisot"
13720,"Alabama Cotton Tenant Farmer's Wife",1962.158,"Photography and Media","Walker Evans"
13853,"Karttikeya, Commander of the Divine Army, Seated on a Peacock",1962.203,"Arts of Asia",
14572,"The Millinery Shop",1933.428,"Painting and Sculpture of Europe","Hilaire Germain Edgar Degas"
14574,"Henri Degas and His Niece Lucie Degas (The Artist's Uncle and Cousin)",1933.429,"Painting and Sculpture of Europe","Hilaire Germain Edgar Degas"
14591,"Woman Reading",1933.435,"Painting and Sculpture of Europe","Édouard Manet"
14598,"The Beach at Sainte-Adresse",1933.439,"Painting and Sculpture of Europe","Claude Monet"
14655,"Two Sisters (On the Terrace)",1933.455,"Painting and Sculpture of Europe","Pierre-Auguste Renoir"
14968,"Mural Fragment Depicting a Maguey Bloodletting Ritual",1962.702,"Arts of the Americas",Teotihuacan
15401,"At Mouquin's",1925.295,"Arts of the Americas","William James Glackens"
15468,"Saint George and the Dragon",1933.786,"Painting and Sculpture of Europe","Bernat Martorell"
15563,"The Night is Stirring (La nuit remue)",1962.904,"Contemporary Art","Wou-Ki Zao"
16146,"Equestrienne (At the Cirque Fernando)",1925.523,"Painting and Sculpture of Europe","Henri de Toulouse-Lautrec"
16169,"The Beheading of Saint John the Baptist",1933.1014,"Painting and Sculpture of Europe","Giovanni di Paolo"
16231,"Processional Cross with Saint Mary Magdalene and a Blessed Hermit",1933.1032,"Painting and Sculpture of Europe","Lorenzo Monaco"
16298,"Portrait of Jean Gros (recto); Coat of Arms of Jean Gros (verso)",1933.1051a-b,"Painting and Sculpture of Europe","Rogier van der Weyden"
16327,"The Annunciation",1933.1062,"Painting and Sculpture of Europe","Jean Hey, (the Master of Moulins)"
16362,"Friar Pedro Shoots El Maragato as His Horse Runs Off",1933.1075,"Painting and Sculpture of Europe","Francisco José de Goya y Lucientes"
16487,"The Bay of Marseille, Seen from L'Estaque",1933.1116,"Painting and Sculpture of Europe","Paul Cezanne"
16488,"Armida Encounters the Sleeping Rinaldo",1925.700,"Painting and Sculpture of Europe","Giambattista Tiepolo"
16499,"Jesus Mocked by the Soldiers",1925.703,"Painting and Sculpture of Europe","Édouard Manet"
16551,"Beata Beatrix",1925.722,"Painting and Sculpture of Europe","Dante Gabriel Rossetti"
16568,"Water Lilies",1933.1157,"Painting and Sculpture of Europe","Claude Monet"
16571,"Arrival of the Normandy Train, Gare Saint-Lazare",1933.1158,"Painting and Sculpture of Europe","Claude Monet"
16776,"After the Hurricane, Bahamas",1933.1235,"Prints and Drawings","Winslow Homer"
16964,"The Plough and the Song",1963.208,"Contemporary Art","Arshile Gorky"
18709,"The Frugal Meal, from The Saltimbanques",1963.825,"Prints and Drawings","Pablo Picasso"
18757,"Ceremonial Knife (Tumi)",1963.841,"Arts of the Americas",Chimú
19339,"Arlésiennes (Mistral)",1934.391,"Painting and Sculpture of Europe","Paul Gauguin"
20432,"The Old Savoyard",1964.74,"Prints and Drawings","Jean Antoine Watteau"
20579,"Hercules and the Lernaean Hydra",1964.231,"Painting and Sculpture of Europe","Gustave Moreau"
20684,"Paris Street; Rainy Day",1964.336,"Painting and Sculpture of Europe","Gustave Caillebotte"
21023,"Buddha Shakyamuni Seated in Meditation (Dhyanamudra)",1964.556,"Arts of Asia",
23333,"Pastoral Scene",1937.68,"Painting and Sculpture of Europe","Giovanni Battista Piazzetta"
